100 % init 3 without mutation scaling,,,,,,,,
generation,time,best cost,average cost,population,mutation,crossover,tournament,unique
1,0,1800,1823.8,5,1,0,2,1
6,0.61,1799.5,1803.5,5,1,0,2,1
11,0.9,1798,1799.5,5,1,0,2,1
29,1.92,1795,1798,5,1,0,2,1
57,3.45,1793.5,1795,5,1,0,2,1
115,6.53,1789.5,1793.5,5,1,0,2,1
132,7.49,1788.5,1789.5,5,1,0,2,1
162,9.19,1785.5,1788.5,5,1,0,2,1
171,9.7,1783.5,1785.5,5,1,0,2,1
174,9.86,1781,1783.9,5,1,0,2,1
280,14.5,1780.5,1781.2,5,1,0,2,1
478,22.66,1780,1780.5,5,1,0,2,1
589,27.32,1779.5,1780,5,1,0,2,1
100% Cauchy init with mutation scaling,,,,,,,,
generation,time,best cost,average cost,population,mutation,crossover,tournament,unique
2,0.241569281,1804.5,1813.6,5,1,0,2,1
20,1.050894499,1802.5,1804.5,5,1,0,2,1
23,1.181589603,1798.5,1802.5,5,1,0,2,1
45,2.077684164,1798,1798.5,5,1,0,2,1
49,2.233645201,1797.5,1798,5,1,0,2,1
58,2.677156925,1794.5,1797.5,10,1,0,2,1
84,4.601388454,1793,1794.5,10,1,0,2,1
88,4.885361195,1789.5,1793,8,1,0,2,1
104,5.940324545,1787.5,1789.5,10,1,0,2,1
121,7.189421654,1787,1787.5,10,1,0,2,1
124,7.413297415,1784,1787,7,1,0,2,1
160,9.572530746,1783,1784,10,1,0,2,1
168,10.0138998,1782.5,1783,10,1,0,2,1
180,10.70639682,1779,1782.5,10,1,0,2,1
266,15.96432304,1778.5,1779,10,1,0,2,1
274,16.39394212,1778,1778.5,10,1,0,2,1
100% init 3 with mutation scaling,,,,,,,,
generation,time,best cost,average cost,population,mutation,crossover,tournament,unique
2,0.303807735,1809,1815.2,5,1,0,2,1
11,0.710645199,1805,1809,5,1,0,2,1
13,0.803714275,1796,1806.6,5,1,0,2,1
45,2.078712702,1794.5,1796,5,1,0,2,1
46,2.117705345,1791.5,1795.4,5,1,0,2,1
56,2.541380405,1790.5,1791.5,10,1,0,2,1
66,3.223719358,1790,1790.5,10,1,0,2,1
71,3.556753874,1788,1790,9,1,0,2,1
103,5.778705597,1787.5,1788,10,1,0,2,1
120,6.95484376,1787,1787.5,10,1,0,2,1
153,9.110223532,1786,1787,10,1,0,2,1
224,13.49071407,1785.5,1786,10,1,0,2,1
273,16.4322598,1784,1786.65,10,1,0,2,1
379,22.75971127,1783.5,1784,10,1,0,2,1
50% Couchy 50% basic init with mutation scaling,,,,,,,,
generation,time,best cost,average cost,population,mutation,crossover,tournament,unique
4,0.291754484,1811,1812,5,1,1,2,1
15,0.865470886,1809,1811,5,1,1,2,1
21,1.164879084,1801,1809,5,1,1,2,1
30,1.599404097,1799,1801,5,1,1,2,1
34,1.803722382,1797.5,1799,5,1,1,2,1
49,2.504904747,1796.5,1797.5,5,1,1,2,1
61,3.310353041,1793.5,1796.5,10,1,1,2,1
64,3.582716942,1792.5,1793.5,7,1,1,2,1
69,3.871162653,1791.5,1792.5,7,1,1,2,1
80,4.625467062,1791,1791.5,10,1,1,2,1
85,5.03410387,1789.5,1791,9,1,1,2,1
89,5.333759308,1787,1789.5,7,1,1,2,1
96,5.702551603,1786.5,1787,9,1,1,2,1
102,6.089558125,1786,1786.5,9,1,1,2,1
122,7.631860256,1785,1786,10,1,1,2,1
134,8.598236084,1784.5,1786.1,10,1,1,2,1
162,10.6108644,1782,1784.5,10,1,1,2,1
172,11.23671055,1780.5,1782,10,1,1,2,1
338,22.05743837,1780,1780.5,10,1,1,2,1
351,22.83859038,1779.5,1780,10,1,1,2,1
391,25.29155302,1779,1779.5,10,1,1,2,1
